name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Caloocan City, National Capital Region, Philippines",2025-04-15,34.9,28.7,31.0,70.5,6.7,19.9
"Caloocan City, National Capital Region, Philippines",2025-04-16,33.6,26.5,29.8,65.3,2.6,11.5
"Caloocan City, National Capital Region, Philippines",2025-04-17,35.7,26.1,30.4,55.9,0.0,17.3
"Caloocan City, National Capital Region, Philippines",2025-04-18,36.0,25.0,31.1,60.2,0.1,19.1
"Caloocan City, National Capital Region, Philippines",2025-04-19,38.0,27.2,31.5,51.7,0.0,16.9
"Caloocan City, National Capital Region, Philippines",2025-04-20,35.2,26.8,31.1,55.9,0.0,17.6
"Caloocan City, National Capital Region, Philippines",2025-04-21,36.7,27.8,31.7,57.3,0.0,18.0
"Caloocan City, National Capital Region, Philippines",2025-04-22,35.9,25.6,31.7,60.4,0.0,14.9
"Caloocan City, National Capital Region, Philippines",2025-04-23,35.9,27.8,31.5,71.0,1.4,19.4
"Caloocan City, National Capital Region, Philippines",2025-04-24,35.9,28.3,31.7,61.4,0.1,14.7
"Caloocan City, National Capital Region, Philippines",2025-04-25,36.8,27.8,31.6,56.8,0.1,20.5
"Caloocan City, National Capital Region, Philippines",2025-04-26,36.9,26.8,31.4,52.9,0.0,23.0
