name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Las Piñas, NCR",2000-01-01,31.1,24.8,27.7,73,0.532,18.4
"Las Piñas, NCR",2000-01-02,31.1,24.1,27.7,73.3,0.185,14.8
"Las Piñas, NCR",2000-01-03,31.1,24.8,27.4,68.8,0.011,29.5
"Las Piñas, NCR",2000-01-04,30.4,23.1,27,66.8,0.005,33.5
"Las Piñas, NCR",2000-01-05,31.1,23.1,27.1,69.2,0.004,18.4
"Las Piñas, NCR",2000-01-06,31.1,24.6,27.3,72.5,0.028,14.8
"Las Piñas, NCR",2000-01-07,32.1,23.1,26.9,72.3,0.078,13
"Las Piñas, NCR",2000-01-08,30.3,24.1,27.1,74.7,0.057,18.4
"Las Piñas, NCR",2000-01-09,31.6,24.1,27.5,71.4,0,14.8
"Las Piñas, NCR",2000-01-10,32.1,24.1,27.8,71.2,0.003,18.4
"Las Piñas, NCR",2000-01-11,32.1,25.8,28,69.8,0.006,18.4
"Las Piñas, NCR",2000-01-12,31.1,23.1,26.9,71.1,0.033,15.8
"Las Piñas, NCR",2000-01-13,31.1,23.1,26.8,73.2,0.038,14.8
"Las Piñas, NCR",2000-01-14,31.4,24.1,27.7,73,0.009,18.4
"Las Piñas, NCR",2000-01-15,31.1,25.1,28,70.6,0.053,20.5
"Las Piñas, NCR",2000-01-16,31.1,23.1,27.8,69.5,0,14.8
"Las Piñas, NCR",2000-01-17,31.1,22.1,27.2,70.2,0.004,17.4
"Las Piñas, NCR",2000-01-18,30.1,25.1,26.8,71.9,0.362,22.3
"Las Piñas, NCR",2000-01-19,29.7,24.1,26.9,69.5,0.031,18.4
"Las Piñas, NCR",2000-01-20,29.9,23.1,26.3,70.6,0.047,22.3
"Las Piñas, NCR",2000-01-21,28.1,23.1,24.9,82.2,3.361,16.6
"Las Piñas, NCR",2000-01-22,26.1,22.9,24.2,84.4,10.022,18.4
"Las Piñas, NCR",2000-01-23,30.1,22.1,25.9,70.8,0.322,27.7
"Las Piñas, NCR",2000-01-24,31.1,23.1,26.8,65.2,0.011,33.5
"Las Piñas, NCR",2000-01-25,30.1,23.1,26.6,67,0.015,22.3
"Las Piñas, NCR",2000-01-26,29.1,23.1,26.3,66.7,0.041,18.4
"Las Piñas, NCR",2000-01-27,27.1,23.1,24.8,76.3,4.298,23.7
"Las Piñas, NCR",2000-01-28,28.1,22.1,24.5,72.7,1.577,33.5
"Las Piñas, NCR",2000-01-29,27.1,22.1,24.1,67.5,0.589,25.9
"Las Piñas, NCR",2000-01-30,29.1,21.1,24.4,66.8,0.117,22.3
"Las Piñas, NCR",2000-01-31,27.1,21.1,24.5,66.1,0.147,25.9
"Las Piñas, NCR",2000-02-01,28.1,23,25,71.9,0.336,14.8
"Las Piñas, NCR",2000-02-02,29.1,22.8,25.6,73.9,0.092,18.4
"Las Piñas, NCR",2000-02-03,28.1,23.1,25.6,76.6,3.154,11.2
"Las Piñas, NCR",2000-02-04,29.1,22.1,25.8,81.4,3.176,22.3
"Las Piñas, NCR",2000-02-05,28.1,24.1,25.8,84.3,22.202,18.4
"Las Piñas, NCR",2000-02-06,30.1,23.9,26.3,82.7,2.741,13
"Las Piñas, NCR",2000-02-07,30.2,24.1,27.2,80.4,0.049,18.4
"Las Piñas, NCR",2000-02-08,29.1,24.1,26.2,77.8,2.432,18.4
"Las Piñas, NCR",2000-02-09,28.8,24.1,25.8,70.1,0.213,29.5
"Las Piñas, NCR",2000-02-10,29.1,22.1,25.7,72.1,0.048,18.4
"Las Piñas, NCR",2000-02-11,28.1,24,25.8,76.1,0.208,18.4
"Las Piñas, NCR",2000-02-12,31.1,24.1,27.1,76.1,0.089,13
"Las Piñas, NCR",2000-02-13,32.1,24.1,27.8,75.4,0,14.8
"Las Piñas, NCR",2000-02-14,32.1,25.1,28.1,74.1,0,13.4
"Las Piñas, NCR",2000-02-15,30.1,25.1,27.3,76.9,2.377,18.8
"Las Piñas, NCR",2000-02-16,30.1,25.1,26.7,69.9,0.004,38.4
"Las Piñas, NCR",2000-02-17,29.1,24.1,26.1,71.6,0.203,22.3
"Las Piñas, NCR",2000-02-18,31.1,24.1,27,68,0.01,22.3
"Las Piñas, NCR",2000-02-19,32.1,24.1,27.9,69,0.03,22.3
"Las Piñas, NCR",2000-02-20,33.1,25.1,28.5,70.6,0.004,14.7
"Las Piñas, NCR",2000-02-21,31.2,26.1,28.4,71.2,0.064,22.3
"Las Piñas, NCR",2000-02-22,32.3,25.1,28.3,67.6,0,25.9
"Las Piñas, NCR",2000-02-23,32.1,24.1,28,68.7,0,22.3
"Las Piñas, NCR",2000-02-24,32.1,23.1,27.7,67.6,0,25.9
"Las Piñas, NCR",2000-02-25,32.1,23.8,27.7,67.4,0,22.3
"Las Piñas, NCR",2000-02-26,33.1,23.1,28.2,67.1,0.003,25.9
"Las Piñas, NCR",2000-02-27,32.1,25.1,27.4,68.5,0.007,22.3
"Las Piñas, NCR",2000-02-28,31.1,24.1,27.6,66.8,0.05,18.4
"Las Piñas, NCR",2000-02-29,31.8,24.1,27.9,65.3,0.41,25.9
"Las Piñas, NCR",2000-03-01,32.1,25.1,28.1,60.8,0,25.9
