name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Marikina City, National Capital Region, Philippines",2025-04-15,35.0,29.0,31.2,70.3,6.7,20.5
"Marikina City, National Capital Region, Philippines",2025-04-16,33.6,26.5,29.7,65.4,2.6,11.5
"Marikina City, National Capital Region, Philippines",2025-04-17,35.7,26.1,30.4,55.9,0.0,17.3
"Marikina City, National Capital Region, Philippines",2025-04-18,36.0,25.0,31.2,59.5,0.1,19.1
"Marikina City, National Capital Region, Philippines",2025-04-19,38.0,27.2,31.5,51.7,0.0,16.9
"Marikina City, National Capital Region, Philippines",2025-04-20,35.2,27.0,31.2,55.1,0.0,18.4
"Marikina City, National Capital Region, Philippines",2025-04-21,36.7,28.0,31.7,56.8,0.0,18.0
"Marikina City, National Capital Region, Philippines",2025-04-22,36.0,25.2,31.7,60.1,0.0,14.8
"Marikina City, National Capital Region, Philippines",2025-04-23,36.0,28.0,31.6,71.2,1.4,20.5
"Marikina City, National Capital Region, Philippines",2025-04-24,36.0,28.3,31.7,61.0,0.1,14.8
"Marikina City, National Capital Region, Philippines",2025-04-25,37.0,28.0,31.7,55.9,0.1,20.5
"Marikina City, National Capital Region, Philippines",2025-04-26,36.9,26.8,31.5,52.1,0.0,23.0
