name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Quezon City, National Capital Region, Philippines",2011-01-01,29.9,21.8,25.2,31.8,21.8,25.8,20.6,76.0,0.622,100.0,4.17,rain,,,46.8,17.8,69.6,1009.6,65.3,8.7,205.0,17.7,8.0,,2011-01-01T06:20:54,2011-01-01T17:37:18,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-02,29.9,20.8,25.3,32.3,20.8,26.1,19.9,73.1,0.0,0.0,0.0,,,,54.0,21.0,104.9,1011.2,49.7,9.8,206.8,17.9,8.0,,2011-01-02T06:21:16,2011-01-02T17:37:52,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-03,29.9,20.5,25.7,31.6,20.5,26.2,19.1,68.4,0.0,0.0,0.0,,,,32.4,24.8,89.9,1011.5,49.8,9.8,222.4,19.2,8.0,,2011-01-03T06:21:38,2011-01-03T17:38:27,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-04,28.9,20.4,25.1,29.8,20.4,25.4,18.4,67.6,0.0,0.0,0.0,,,,28.8,24.8,102.9,1011.8,42.6,9.7,231.8,20.2,8.0,,2011-01-04T06:21:58,2011-01-04T17:39:02,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-05,30.9,19.2,25.4,32.5,19.2,26.0,19.2,69.7,0.0,0.0,0.0,,,,,21.2,93.5,1011.1,43.9,9.4,212.9,18.5,8.0,,2011-01-05T06:22:18,2011-01-05T17:39:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-06,29.9,21.6,26.3,33.0,21.6,27.4,20.6,72.2,0.0,0.0,0.0,,,,,17.4,102.8,1011.0,61.8,9.0,158.6,13.6,6.0,,2011-01-06T06:22:36,2011-01-06T17:40:12,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-07,30.9,21.3,26.2,31.9,21.3,26.9,19.3,67.5,0.0,0.0,0.0,,,,32.4,14.6,51.7,1010.6,54.0,9.3,165.9,14.5,7.0,,2011-01-07T06:22:54,2011-01-07T17:40:47,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-08,31.9,21.2,26.3,33.3,21.2,27.0,19.3,66.9,0.0,0.0,0.0,,,,46.8,21.6,83.9,1010.1,44.6,9.3,119.0,10.3,4.0,,2011-01-08T06:23:11,2011-01-08T17:41:22,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-09,28.0,21.7,24.9,30.5,21.7,25.1,21.8,83.5,5.055,100.0,20.83,rain,,,32.4,14.4,353.1,1009.6,81.0,8.6,118.7,10.3,4.0,,2011-01-09T06:23:26,2011-01-09T17:41:57,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-10,29.0,23.2,25.9,31.9,23.2,27.2,22.4,81.8,1.018,100.0,16.67,rain,,,,14.6,53.9,1008.0,79.3,8.6,196.8,16.9,8.0,,2011-01-10T06:23:41,2011-01-10T17:42:32,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-11,28.9,22.3,25.9,30.9,22.3,26.6,20.8,74.5,0.013,100.0,8.33,rain,,,,17.6,98.4,1007.5,85.9,9.2,157.5,13.7,6.0,,2011-01-11T06:23:55,2011-01-11T17:43:08,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-12,28.4,22.4,25.7,31.5,22.4,26.8,22.0,80.3,0.931,100.0,8.33,rain,,,36.0,14.4,137.3,1007.5,86.9,8.5,164.2,14.2,6.0,,2011-01-12T06:24:07,2011-01-12T17:43:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-13,31.0,23.7,26.9,34.5,23.7,28.1,22.0,75.4,0.0,0.0,0.0,,,,28.8,14.2,110.0,1008.3,64.0,9.3,160.6,13.8,6.0,,2011-01-13T06:24:19,2011-01-13T17:44:18,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-14,29.3,22.5,26.5,33.0,22.5,28.2,22.2,77.7,0.0,0.0,0.0,,,,32.4,18.0,314.4,1007.6,62.1,8.9,135.8,11.8,5.0,,2011-01-14T06:24:29,2011-01-14T17:44:52,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-15,30.9,24.5,26.8,37.1,24.5,28.4,23.3,82.2,44.007,100.0,12.5,rain,,,,18.9,298.1,1007.6,81.7,8.6,118.1,10.3,4.0,,2011-01-15T06:24:38,2011-01-15T17:45:27,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-16,28.8,23.3,25.6,30.0,23.3,26.0,20.0,72.2,1.074,100.0,8.33,rain,,,,31.5,55.7,1009.4,88.6,9.3,124.0,10.7,5.0,,2011-01-16T06:24:47,2011-01-16T17:46:01,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-17,26.9,22.1,24.8,27.8,22.1,24.9,17.3,63.5,0.0,0.0,0.0,,,,39.6,34.9,70.4,1011.9,90.7,9.7,105.4,9.2,3.0,,2011-01-17T06:24:54,2011-01-17T17:46:36,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-18,29.9,21.8,25.4,31.7,21.8,25.8,18.8,67.6,0.0,0.0,0.0,,,,32.4,17.6,90.8,1011.3,86.0,9.8,179.5,15.4,7.0,,2011-01-18T06:25:00,2011-01-18T17:47:09,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-19,28.0,22.3,24.8,30.6,22.3,25.1,21.3,81.6,7.762,100.0,20.83,rain,,,36.0,10.8,29.4,1009.7,93.2,8.7,167.8,14.6,6.0,,2011-01-19T06:25:05,2011-01-19T17:47:43,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-20,30.9,22.5,26.4,34.7,22.5,28.2,22.7,81.1,47.4,100.0,4.17,rain,,,86.4,14.4,123.0,1009.0,80.0,8.8,127.5,11.0,5.0,,2011-01-20T06:25:08,2011-01-20T17:48:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
"Quezon City, National Capital Region, Philippines",2011-01-21,30.7,22.6,26.5,36.1,22.6,28.3,23.4,82.8,30.315,100.0,16.67,rain,,,32.4,14.6,324.5,1009.2,72.2,8.6,175.5,15.1,7.0,,2011-01-21T06:25:11,2011-01-21T17:48:49,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,RPLC,98327099999,98428099999,RPLL,98430099999,98433099999,98425099999"
