name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Taguig City, National Capital Region, Philippines",2000-01-01,31.1,24.7,27.7,72.6,0.177,18.4
"Taguig City, National Capital Region, Philippines",2000-01-02,31.1,24.1,27.7,72.5,0.049,14.8
"Taguig City, National Capital Region, Philippines",2000-01-03,31.1,24.7,27.4,67.8,0.004,29.5
"Taguig City, National Capital Region, Philippines",2000-01-04,30.3,23.1,26.9,66.1,0.002,33.5
"Taguig City, National Capital Region, Philippines",2000-01-05,31.1,23.1,27.1,68.7,0.002,18.4
"Taguig City, National Capital Region, Philippines",2000-01-06,31.1,24.7,27.3,71.7,0.015,14.8
"Taguig City, National Capital Region, Philippines",2000-01-07,32.1,23.1,26.8,71.9,0.06,13
"Taguig City, National Capital Region, Philippines",2000-01-08,30.2,24.1,27,74.5,0.026,18.4
"Taguig City, National Capital Region, Philippines",2000-01-09,31.6,24.1,27.4,71.1,0,14.8
"Taguig City, National Capital Region, Philippines",2000-01-10,32.1,24.1,27.8,70.6,0.001,18.4
"Taguig City, National Capital Region, Philippines",2000-01-11,32.1,25.7,28,69.3,0.003,18.4
"Taguig City, National Capital Region, Philippines",2000-01-12,31.1,23.1,26.9,70.7,0.016,18.4
"Taguig City, National Capital Region, Philippines",2000-01-13,31.1,23.1,26.7,72.6,0.019,14.8
"Taguig City, National Capital Region, Philippines",2000-01-14,31.6,24.1,27.7,72.4,0.004,18.4
"Taguig City, National Capital Region, Philippines",2000-01-15,31.1,24.9,28,70,0.047,20.5
"Taguig City, National Capital Region, Philippines",2000-01-16,31.1,23.1,27.7,68.9,0,14.8
"Taguig City, National Capital Region, Philippines",2000-01-17,31.1,22.1,27.1,69.7,0.002,18.5
"Taguig City, National Capital Region, Philippines",2000-01-18,30.1,25.1,26.7,71.4,0.21,22.3
"Taguig City, National Capital Region, Philippines",2000-01-19,29.4,24.1,26.9,69.1,0.012,18.4
"Taguig City, National Capital Region, Philippines",2000-01-20,29.9,23.1,26.3,70.1,0.024,22.3
"Taguig City, National Capital Region, Philippines",2000-01-21,28.3,22.8,24.8,81.8,2.522,16.6
"Taguig City, National Capital Region, Philippines",2000-01-22,26.1,22.8,24.2,83.8,4.398,18.4
"Taguig City, National Capital Region, Philippines",2000-01-23,30.1,22.1,25.9,70.3,0.274,27.7
"Taguig City, National Capital Region, Philippines",2000-01-24,31.1,23.1,26.7,64.2,0.004,33.5
"Taguig City, National Capital Region, Philippines",2000-01-25,30.1,22.8,26.6,66.1,0.005,23.5
"Taguig City, National Capital Region, Philippines",2000-01-26,29.1,23.1,26.2,66.2,0.041,18.4
"Taguig City, National Capital Region, Philippines",2000-01-27,27.1,22.9,24.7,75.6,3.915,29.7
"Taguig City, National Capital Region, Philippines",2000-01-28,28.1,22.1,24.5,71.9,1.158,33.5
"Taguig City, National Capital Region, Philippines",2000-01-29,27.1,22.1,24.1,66.6,0.793,25.9
"Taguig City, National Capital Region, Philippines",2000-01-30,29.1,21.1,24.4,65.6,0.06,22.3
"Taguig City, National Capital Region, Philippines",2000-01-31,27.1,21.1,24.5,65.6,0.099,25.9
"Taguig City, National Capital Region, Philippines",2000-02-01,28.1,22.9,25,71.3,0.237,14.8
"Taguig City, National Capital Region, Philippines",2000-02-02,29.1,22.7,25.6,73.7,0.029,18.4
"Taguig City, National Capital Region, Philippines",2000-02-03,28.1,23.1,25.6,76.4,2.18,11.2
"Taguig City, National Capital Region, Philippines",2000-02-04,29.1,22.1,25.8,81.1,1.551,22.3
"Taguig City, National Capital Region, Philippines",2000-02-05,28.1,24.1,25.8,83.9,23.466,19.1
"Taguig City, National Capital Region, Philippines",2000-02-06,30.1,23.7,26.2,82.3,1.179,13
"Taguig City, National Capital Region, Philippines",2000-02-07,30.1,24.1,27.1,79.9,0.015,18.4
"Taguig City, National Capital Region, Philippines",2000-02-08,29.1,24.1,26.3,76.9,1.26,18.4
"Taguig City, National Capital Region, Philippines",2000-02-09,28.8,24.1,25.8,69.5,0.111,29.5
"Taguig City, National Capital Region, Philippines",2000-02-10,29.1,22.1,25.6,71.4,0.025,18.4
"Taguig City, National Capital Region, Philippines",2000-02-11,28.1,23.9,25.8,75.8,0.108,18.4
"Taguig City, National Capital Region, Philippines",2000-02-12,31.1,24.1,27.1,75.8,0.056,13
"Taguig City, National Capital Region, Philippines",2000-02-13,32.1,24.1,27.8,74.8,0,14.8
"Taguig City, National Capital Region, Philippines",2000-02-14,32.1,24.8,28,73.6,0,13.5
"Taguig City, National Capital Region, Philippines",2000-02-15,30.1,25.1,27.3,76.3,1.829,20.9
"Taguig City, National Capital Region, Philippines",2000-02-16,30.1,25.1,26.7,69.4,0.001,39.3
"Taguig City, National Capital Region, Philippines",2000-02-17,29.1,24.1,26.1,71,0.095,22.3
"Taguig City, National Capital Region, Philippines",2000-02-18,31.1,24.1,27,67.4,0.004,22.3
"Taguig City, National Capital Region, Philippines",2000-02-19,32.1,24.1,28,68.6,0.012,22.3
"Taguig City, National Capital Region, Philippines",2000-02-20,33.1,25.1,28.5,70,0.002,13.2
"Taguig City, National Capital Region, Philippines",2000-02-21,31.1,26,28.4,70.5,0.025,22.3
"Taguig City, National Capital Region, Philippines",2000-02-22,32.2,25.1,28.3,66.6,0,25.9
"Taguig City, National Capital Region, Philippines",2000-02-23,32.1,24.1,28,67.8,0,22.3
"Taguig City, National Capital Region, Philippines",2000-02-24,32.1,22.4,27.6,66.9,0,25.9
"Taguig City, National Capital Region, Philippines",2000-02-25,32.1,23.4,27.7,66.7,0,22.3
"Taguig City, National Capital Region, Philippines",2000-02-26,33.1,23.1,28.2,66.4,0.001,25.9
"Taguig City, National Capital Region, Philippines",2000-02-27,32.1,25,27.5,67.8,0.003,22.3
