name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Makati, National Capital Region, Philippines",2000-01-01,31.1,25,27.7,72.9,0.079,18.4
"Makati, National Capital Region, Philippines",2000-01-02,31.1,24.1,27.7,73.2,0.047,14.8
"Makati, National Capital Region, Philippines",2000-01-03,31.1,24.7,27.3,68.8,0.002,29.5
"Makati, National Capital Region, Philippines",2000-01-04,30.6,23.1,26.9,66.6,0,33.5
"Makati, National Capital Region, Philippines",2000-01-05,31.1,23.1,27.1,69.2,0.002,18.4
"Makati, National Capital Region, Philippines",2000-01-06,31.1,24.7,27.3,72.2,0.015,14.8
"Makati, National Capital Region, Philippines",2000-01-07,32.1,23.1,26.9,72,0.174,13
"Makati, National Capital Region, Philippines",2000-01-08,30.3,24.1,27.1,74.7,0.024,18.4
"Makati, National Capital Region, Philippines",2000-01-09,31.6,24.1,27.4,71.3,0,14.8
"Makati, National Capital Region, Philippines",2000-01-10,32.1,24.1,27.8,70.8,0,18.4
"Makati, National Capital Region, Philippines",2000-01-11,32.1,25.8,28,69.6,0.001,18.4
"Makati, National Capital Region, Philippines",2000-01-12,31.1,23.1,26.9,71.2,0.02,14.8
"Makati, National Capital Region, Philippines",2000-01-13,31.1,23.1,26.8,73.1,0.019,14.8
"Makati, National Capital Region, Philippines",2000-01-14,31.2,24.1,27.7,72.9,0.004,18.4
"Makati, National Capital Region, Philippines",2000-01-15,31.1,25.1,28,70.8,0.09,20.5
"Makati, National Capital Region, Philippines",2000-01-16,31.1,23.1,27.8,69.6,0,14.8
"Makati, National Capital Region, Philippines",2000-01-17,31.1,22.1,27.2,70.1,0.002,14.8
"Makati, National Capital Region, Philippines",2000-01-18,30.1,25.1,26.8,71.7,0.259,22.3
"Makati, National Capital Region, Philippines",2000-01-19,29.5,24.1,26.9,69.7,0.019,18.4
"Makati, National Capital Region, Philippines",2000-01-20,29.9,23.1,26.3,70.8,0.024,22.3
"Makati, National Capital Region, Philippines",2000-01-21,28.1,23,24.8,82.3,2.662,16.6
"Makati, National Capital Region, Philippines",2000-01-22,26.1,23,24.2,84.4,10.165,18.4
"Makati, National Capital Region, Philippines",2000-01-23,30.1,22.1,25.9,70.5,0.539,27.7
"Makati, National Capital Region, Philippines",2000-01-24,31.1,23.1,26.7,64.9,0.004,33.5
"Makati, National Capital Region, Philippines",2000-01-25,30.1,23.1,26.6,66.4,0.003,22.3
"Makati, National Capital Region, Philippines",2000-01-26,29.2,23.1,26.2,66.3,0.085,18.4
"Makati, National Capital Region, Philippines",2000-01-27,27.2,23,24.8,76.1,3.342,21.5
"Makati, National Capital Region, Philippines",2000-01-28,28.1,22.1,24.6,72.3,1.091,33.5
"Makati, National Capital Region, Philippines",2000-01-29,27.1,22.1,24.2,67.3,0.479,25.9
"Makati, National Capital Region, Philippines",2000-01-30,29.1,21.1,24.4,66.3,0.058,22.3
"Makati, National Capital Region, Philippines",2000-01-31,27.1,21.1,24.5,66,0.256,25.9
"Makati, National Capital Region, Philippines",2000-02-01,28.1,23.1,25,71.5,0.498,16.5
"Makati, National Capital Region, Philippines",2000-02-02,29.1,23.1,25.6,73.9,0.004,18.4
"Makati, National Capital Region, Philippines",2000-02-03,28.1,23.1,25.6,76.5,2.168,11.2
"Makati, National Capital Region, Philippines",2000-02-04,29.1,22.1,25.8,81.4,2.369,22.3
"Makati, National Capital Region, Philippines",2000-02-05,28.1,24.1,25.7,84.4,23.142,18.4
"Makati, National Capital Region, Philippines",2000-02-06,30.1,23.8,26.2,82.7,2.922,13
"Makati, National Capital Region, Philippines",2000-02-07,30.1,24.1,27.2,80.1,0.011,18.4
"Makati, National Capital Region, Philippines",2000-02-08,29.1,24.1,26.2,77.7,2.585,18.4
"Makati, National Capital Region, Philippines",2000-02-09,28.8,24.1,25.8,69.8,0.11,29.5
"Makati, National Capital Region, Philippines",2000-02-10,29.1,22.1,25.7,72,0.025,18.4
"Makati, National Capital Region, Philippines",2000-02-11,28.1,23.7,25.8,76.2,0.107,18.4
"Makati, National Capital Region, Philippines",2000-02-12,31.1,24.1,27.1,76.1,0.098,13
"Makati, National Capital Region, Philippines",2000-02-13,32.1,24.1,27.8,75.4,0,14.8
"Makati, National Capital Region, Philippines",2000-02-14,32.1,25.1,28,74.1,0,12.6
"Makati, National Capital Region, Philippines",2000-02-15,30.1,25.1,27.3,76.8,3.378,14.8
"Makati, National Capital Region, Philippines",2000-02-16,30.1,25.1,26.7,69.7,0.001,39.3
"Makati, National Capital Region, Philippines",2000-02-17,29.1,24.1,26.2,71.4,0.133,22.3
"Makati, National Capital Region, Philippines",2000-02-18,31.1,24.1,27,67.7,0.004,22.3
"Makati, National Capital Region, Philippines",2000-02-19,32.1,24.1,28,68.9,0.001,22.3
"Makati, National Capital Region, Philippines",2000-02-20,33.1,25.1,28.5,70.6,0.002,13
"Makati, National Capital Region, Philippines",2000-02-21,31.5,26.1,28.4,70.9,0.002,22.3
"Makati, National Capital Region, Philippines",2000-02-22,32.1,25.1,28.3,67.3,0,25.9
"Makati, National Capital Region, Philippines",2000-02-23,32.1,24.1,28.1,68.2,0,22.3
"Makati, National Capital Region, Philippines",2000-02-24,32.1,23.1,27.6,67.5,0,25.9
"Makati, National Capital Region, Philippines",2000-02-25,32.1,23.8,27.7,67.4,0,22.3
"Makati, National Capital Region, Philippines",2000-02-26,33.1,23.1,28.2,67.1,0.001,25.9
"Makati, National Capital Region, Philippines",2000-02-27,32.1,25.1,27.5,68.1,0.001,22.3
"Makati, National Capital Region, Philippines",2000-02-28,31.1,24.1,27.6,66.6,0.004,18.4
"Makati, National Capital Region, Philippines",2000-02-29,32.2,24.1,27.9,64.6,0.097,25.9
"Makati, National Capital Region, Philippines",2000-03-01,32.1,25.1,28.1,60.8,0,25.9
"Makati, National Capital Region, Philippines",2000-03-02,33.1,25.1,28.4,64.2,0.942,22.3
"Makati, National Capital Region, Philippines",2000-03-03,29.1,24.1,26,79.8,1.235,18.4
"Makati, National Capital Region, Philippines",2000-03-04,32.1,24.4,28,75.4,3.797,29.5
"Makati, National Capital Region, Philippines",2000-03-05,33.1,24.9,28.2,76.4,1.772,18.4
"Makati, National Capital Region, Philippines",2000-03-06,32.1,24.1,27.9,77.1,0.723,14.8
"Makati, National Capital Region, Philippines",2000-03-07,31.1,25.1,28.1,76.6,0.759,22.3
"Makati, National Capital Region, Philippines",2000-03-08,33.1,26,28.6,71.8,2.468,11.2
"Makati, National Capital Region, Philippines",2000-03-09,31.1,25,27.7,75.5,2.135,14.8
"Makati, National Capital Region, Philippines",2000-03-10,33.1,25.8,28.9,70.4,0.36,25.9
"Makati, National Capital Region, Philippines",2000-03-11,34.1,26.1,29.3,66.7,0,14.8
