name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Malabon, NCR",2000-01-01,31.1,25,27.6,73.2,0.263,18.4
"Malabon, NCR",2000-01-02,31.1,23.1,27.3,74.2,0.198,14.8
"Malabon, NCR",2000-01-03,31,24.2,26.9,71.5,0.007,29.3
"Malabon, NCR",2000-01-04,30.8,23.1,26.7,68.7,0,32.8
"Malabon, NCR",2000-01-05,31.1,23.1,26.7,70.1,0.005,20.5
"Malabon, NCR",2000-01-06,31.1,24.1,27.5,71.8,0.035,20.5
"Malabon, NCR",2000-01-07,32,23.1,26.9,72.1,0.203,13.2
"Malabon, NCR",2000-01-08,30.6,24.1,26.9,75.4,0.056,18.1
"Malabon, NCR",2000-01-09,31.6,24,27.4,71.5,0.005,22.3
"Malabon, NCR",2000-01-10,32.1,24,27.9,70.7,0,25.9
"Malabon, NCR",2000-01-11,32,24.1,27.8,71.4,0.002,18.4
"Malabon, NCR",2000-01-12,31.1,23.1,27,71.4,0.113,14.5
"Malabon, NCR",2000-01-13,31,22.9,26.9,73.7,0.047,18.4
"Malabon, NCR",2000-01-14,31.1,24,27.7,73.5,0.01,17.9
"Malabon, NCR",2000-01-15,31.2,24.7,27.8,72.4,0.303,20.4
"Malabon, NCR",2000-01-16,31.2,23.2,27.7,71,0,14.3
"Malabon, NCR",2000-01-17,31.1,22.1,27.1,71.2,0.005,14.8
"Malabon, NCR",2000-01-18,30.1,24.9,26.8,72.8,0.866,22
"Malabon, NCR",2000-01-19,29.6,23.1,26.5,71.9,0.193,18.3
"Malabon, NCR",2000-01-20,29.9,22.9,26.2,72.2,0.057,22
"Malabon, NCR",2000-01-21,27.8,23.1,24.7,82.9,3.65,29.5
"Malabon, NCR",2000-01-22,26,23.1,24.2,83.9,14.013,33.5
"Malabon, NCR",2000-01-23,30.1,22.1,25.9,71.7,1.812,29.2
"Malabon, NCR",2000-01-24,31.1,23.1,26.8,64.7,0.011,33.5
"Malabon, NCR",2000-01-25,30.1,22.8,26.5,67.5,0.004,22.1
"Malabon, NCR",2000-01-26,29.3,21.1,26,67.5,0.291,24.1
"Malabon, NCR",2000-01-27,28.1,23.1,24.9,75.7,2.873,25.9
"Malabon, NCR",2000-01-28,28.1,22.1,24.6,72.5,1.026,33.1
"Malabon, NCR",2000-01-29,27.1,22.1,24,68.9,0.109,37.1
"Malabon, NCR",2000-01-30,29.1,21.1,24.4,68.1,0.138,22.3
"Malabon, NCR",2000-01-31,27.1,21.1,24.5,65.8,0.276,25.9
"Malabon, NCR",2000-02-01,28.1,22.9,25,72.3,1.095,15.3
"Malabon, NCR",2000-02-02,29.1,22.9,25.7,73.4,0.007,20.5
"Malabon, NCR",2000-02-03,28.1,23.2,25.6,76.8,4.123,11.6
"Malabon, NCR",2000-02-04,29.1,22.1,25.8,81.7,5.395,22.1
"Malabon, NCR",2000-02-05,28,24.1,25.7,84.8,22.762,18.8
"Malabon, NCR",2000-02-06,30,23.8,26.2,82.9,3.716,13
"Malabon, NCR",2000-02-07,30.4,24.1,27.3,79.7,0.026,18.4
"Malabon, NCR",2000-02-08,29.1,24.1,26.2,78.5,4.914,24.1
"Malabon, NCR",2000-02-09,29,23.9,25.9,70.4,0.264,29.2
"Malabon, NCR",2000-02-10,29.1,22.1,25.6,72.9,0.059,18.9
"Malabon, NCR",2000-02-11,28.8,23.3,25.9,76.6,0.256,18.7
"Malabon, NCR",2000-02-12,32.1,24.1,27.2,76,0.315,13
"Malabon, NCR",2000-02-13,31.9,24.1,27.7,76.1,0.005,20.5
"Malabon, NCR",2000-02-14,31.9,25,28,75.3,0,16.6
"Malabon, NCR",2000-02-15,30.3,24.8,27.1,77.6,3.65,20.5
"Malabon, NCR",2000-02-16,30,25.1,26.6,70.7,0.004,36.3
"Malabon, NCR",2000-02-17,29.1,24.1,26.2,72.4,0.385,22.3
"Malabon, NCR",2000-02-18,31.1,24.1,27.1,68,0.011,24
"Malabon, NCR",2000-02-19,32.1,24.1,27.9,69.2,0.003,22.2
"Malabon, NCR",2000-02-20,32.9,25,28.4,71.8,0.005,13.4
"Malabon, NCR",2000-02-21,32.2,25.9,28.4,72,0.005,21.9
"Malabon, NCR",2000-02-22,32.1,25.1,28.3,68.7,0,25.6
"Malabon, NCR",2000-02-23,32.1,23.1,27.8,69.7,0,22.3
"Malabon, NCR",2000-02-24,32.1,22.9,27.5,68.8,0,24.8
"Malabon, NCR",2000-02-25,32.1,23.6,27.6,68.8,0,22
"Malabon, NCR",2000-02-26,33,23.2,28.1,68.6,0.003,25.7
"Malabon, NCR",2000-02-27,32.1,24.8,27.7,68.2,0.002,25.9
"Malabon, NCR",2000-02-28,31.1,23.8,27.3,67.9,0.011,18.7
"Malabon, NCR",2000-02-29,32.4,24.1,27.9,65.8,0.168,25.4
"Malabon, NCR",2000-03-01,32.1,24.6,28,62.5,0,25.7
"Malabon, NCR",2000-03-02,32.9,24.5,28.2,65.3,0.707,22.1
"Malabon, NCR",2000-03-03,29.1,24.1,25.9,79.2,2.21,18.9
"Malabon, NCR",2000-03-04,32.1,24,27.8,75.7,14.48,28.7
"Malabon, NCR",2000-03-05,33,25.1,28.2,76.6,5.373,18.8
"Malabon, NCR",2000-03-06,32,24.2,27.7,78.8,1.192,18.4
"Malabon, NCR",2000-03-07,31.1,24.1,27.8,78.5,1.197,22
"Malabon, NCR",2000-03-08,32.9,24.1,28.1,74.6,8.451,11.7
"Malabon, NCR",2000-03-09,31.2,24.7,27.5,76.7,7.165,14.8
"Malabon, NCR",2000-03-10,33,25.1,28.6,72.5,0.875,25.3
"Malabon, NCR",2000-03-11,33.9,25.6,29.2,67.8,0,14.8
"Malabon, NCR",2000-03-12,32.9,25.1,28.8,69.8,2.118,16.2
"Malabon, NCR",2000-03-13,32.9,25.1,28.3,69.9,2.12,29.8
"Malabon, NCR",2000-03-14,32.1,23.5,27.5,70,2.028,26.9
"Malabon, NCR",2000-03-15,33,24.1,27.9,67,0,25.9
"Malabon, NCR",2000-03-16,32.1,23.7,27.6,70.5,0,14.7
"Malabon, NCR",2000-03-17,32.5,24.9,28.6,64,0.002,22.1
"Malabon, NCR",2000-03-18,32.2,24.9,28.3,64.3,0,25.9
"Malabon, NCR",2000-03-19,32.9,24.1,28.1,74.2,12.994,21.8
"Malabon, NCR",2000-03-20,29.3,25.1,27.2,74.1,1.125,14.7
"Malabon, NCR",2000-03-21,31.1,23.2,27.3,70.2,0.035,17.7
