name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Manila, NCR",2000-01-01,31.1,25,27.7,73.1,0.075,18.4
"Manila, NCR",2000-01-02,31.1,23.1,27.4,73.8,0.08,14.8
"Manila, NCR",2000-01-03,31,24.6,27.2,70,0,29.4
"Manila, NCR",2000-01-04,31.4,23.1,26.8,67.5,0,33.3
"Manila, NCR",2000-01-05,31.1,23.1,26.8,69.8,0.001,20.5
"Manila, NCR",2000-01-06,31.1,24.9,27.7,71,0.005,20.5
"Manila, NCR",2000-01-07,32,23.1,27.1,71.6,0.435,13
"Manila, NCR",2000-01-08,30.5,24.1,27.1,75,0.008,18.3
"Manila, NCR",2000-01-09,31.6,24,27.6,71,0.001,22.3
"Manila, NCR",2000-01-10,32.1,24,28,70,0,25.9
"Manila, NCR",2000-01-11,32,24.1,27.9,70.3,0,18.4
"Manila, NCR",2000-01-12,31.1,23.1,27.1,71.2,0.046,14.7
"Manila, NCR",2000-01-13,31,23,27,73.1,0.006,18.4
"Manila, NCR",2000-01-14,31.1,24,27.7,73.7,0.001,18.2
"Manila, NCR",2000-01-15,31.1,25,28,72.1,0.051,20.5
"Manila, NCR",2000-01-16,31.1,23.1,27.9,70.4,0,14.6
"Manila, NCR",2000-01-17,31.1,22.1,27.3,70.7,0.001,14.8
"Manila, NCR",2000-01-18,30.1,25,26.9,72.1,0.104,22.2
"Manila, NCR",2000-01-19,29.4,23.1,26.5,71.8,0.072,25.3
"Manila, NCR",2000-01-20,29.9,23,26.3,71.8,0.008,22.2
"Manila, NCR",2000-01-21,28,23.1,24.7,83,2.935,29.5
"Manila, NCR",2000-01-22,26.1,23.1,24.4,83.1,20.97,33.5
"Manila, NCR",2000-01-23,30,22.1,26,70.3,0.326,28.2
"Manila, NCR",2000-01-24,31.1,23.1,26.9,63.7,0.001,33.5
"Manila, NCR",2000-01-25,30.2,23,26.7,66,0.001,22.2
"Manila, NCR",2000-01-26,29.5,21.1,26.1,67.2,0.049,24.1
"Manila, NCR",2000-01-27,28.1,23.1,24.9,75.2,2.221,25.9
"Manila, NCR",2000-01-28,28.1,22.1,24.8,71,1.016,33.4
"Manila, NCR",2000-01-29,27.1,22.1,24.2,67.4,0.041,37.1
"Manila, NCR",2000-01-30,29.1,21.1,24.5,66.6,0.019,22.3
"Manila, NCR",2000-01-31,27.1,21.1,24.6,64.7,0.608,25.9
"Manila, NCR",2000-02-01,28.1,23.1,25.1,71,0.743,22.9
"Manila, NCR",2000-02-02,29.1,23.1,25.8,72.8,0,20.5
"Manila, NCR",2000-02-03,28.1,23.1,25.6,76.5,3.001,11.3
"Manila, NCR",2000-02-04,29.1,22.1,25.9,81.8,4.184,22.2
"Manila, NCR",2000-02-05,28,24.1,25.7,85,22.846,18.5
"Manila, NCR",2000-02-06,30,24,26.2,83.1,6.522,13
"Manila, NCR",2000-02-07,30.3,24.1,27.4,79.6,0.004,18.4
"Manila, NCR",2000-02-08,29.1,24.1,26.3,77.7,4.621,24.1
"Manila, NCR",2000-02-09,28.5,24.1,26,69.2,0.037,29.4
"Manila, NCR",2000-02-10,29.1,22.1,25.8,72.6,0.008,18.5
"Manila, NCR",2000-02-11,28.2,23.5,25.9,76.5,0.034,18.5
"Manila, NCR",2000-02-12,32.1,24.1,27.3,75.6,0.053,13
"Manila, NCR",2000-02-13,32,24.1,27.9,75.8,0.001,20.5
"Manila, NCR",2000-02-14,32,25,28.1,74.3,0,16.6
"Manila, NCR",2000-02-15,30.5,24.9,27.2,77,6.912,20.5
"Manila, NCR",2000-02-16,30,25.1,26.7,69.9,0,38.1
"Manila, NCR",2000-02-17,29.1,24.1,26.3,71.6,0.064,22.3
"Manila, NCR",2000-02-18,31.1,24.1,27.1,67.5,0.001,22.9
"Manila, NCR",2000-02-19,32.1,24.1,27.9,69.3,0,22.3
"Manila, NCR",2000-02-20,33,25,28.5,71.3,0.001,13.1
"Manila, NCR",2000-02-21,31.9,26,28.5,71.7,0.001,22.2
"Manila, NCR",2000-02-22,32.1,25.1,28.4,67.9,0,25.8
"Manila, NCR",2000-02-23,32.1,23.1,28,69,0,22.3
"Manila, NCR",2000-02-24,32.1,23,27.6,68.2,0,29.5
"Manila, NCR",2000-02-25,32.1,24,27.7,68.3,0,22.2
"Manila, NCR",2000-02-26,33.1,23.1,28.2,67.6,0,25.8
"Manila, NCR",2000-02-27,32.1,25.1,27.7,67.6,0,25.9
"Manila, NCR",2000-02-28,31.1,24.1,27.4,67.6,0.002,18.5
"Manila, NCR",2000-02-29,32.7,24.1,28.1,64.2,0.029,25.7
"Manila, NCR",2000-03-01,32.1,25,28.1,62.1,0,25.8
"Manila, NCR",2000-03-02,33,24.7,28.4,64.3,0.948,22.2
"Manila, NCR",2000-03-03,29.1,24.1,26,78.8,2.515,18.5
"Manila, NCR",2000-03-04,32.1,24.1,27.9,75.8,11.215,29.3
"Manila, NCR",2000-03-05,33.1,25.1,28.2,76.6,0.953,18.5
"Manila, NCR",2000-03-06,32,24.1,27.8,78.5,1.325,18.4
"Manila, NCR",2000-03-07,31.1,24.1,27.8,78.4,0.296,22.2
"Manila, NCR",2000-03-08,33,24.1,28.3,73.5,1.716,11.3
"Manila, NCR",2000-03-09,31.1,25,27.7,75.8,1.228,16.2
"Manila, NCR",2000-03-10,33.1,25.1,28.8,71.7,0.956,25.7
"Manila, NCR",2000-03-11,34,26,29.4,67.3,0,14.8
"Manila, NCR",2000-03-12,33,25.1,29,68.3,0.357,16.5
"Manila, NCR",2000-03-13,33,25.1,28.5,68.5,0.995,63.1
"Manila, NCR",2000-03-14,32.1,24.1,27.8,68,0.901,27.5
