name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Navotas, NCR",2000-01-01,31.1,25,27.6,73.1,0.251,18.4
"Navotas, NCR",2000-01-02,31.1,23.1,27.3,74.1,0.195,14.8
"Navotas, NCR",2000-01-03,31,24.4,27,71,0.007,29.3
"Navotas, NCR",2000-01-04,30.9,23.1,26.7,68.4,0,32.8
"Navotas, NCR",2000-01-05,31.1,23.1,26.7,70,0.005,20.5
"Navotas, NCR",2000-01-06,31.1,24.3,27.5,71.6,0.033,20.5
"Navotas, NCR",2000-01-07,32,23.1,27,72,0.241,13.2
"Navotas, NCR",2000-01-08,30.5,24.1,27,75.3,0.053,18.2
"Navotas, NCR",2000-01-09,31.6,24,27.5,71.4,0.005,22.3
"Navotas, NCR",2000-01-10,32.1,24,27.9,70.6,0,25.9
"Navotas, NCR",2000-01-11,32,24.1,27.8,71.1,0.002,18.4
"Navotas, NCR",2000-01-12,31.1,23.1,27.1,71.3,0.096,14.6
"Navotas, NCR",2000-01-13,31,22.9,26.9,73.6,0.045,18.4
"Navotas, NCR",2000-01-14,31.1,24,27.7,73.6,0.01,17.9
"Navotas, NCR",2000-01-15,31.2,25,27.9,72.2,0.228,20.4
"Navotas, NCR",2000-01-16,31.2,23.2,27.8,70.8,0,14.3
"Navotas, NCR",2000-01-17,31.1,22.1,27.2,71.1,0.005,14.8
"Navotas, NCR",2000-01-18,30.1,24.9,26.8,72.6,0.694,22
"Navotas, NCR",2000-01-19,29.6,23.1,26.5,71.8,0.17,18.5
"Navotas, NCR",2000-01-20,29.9,22.9,26.2,72,0.054,22
"Navotas, NCR",2000-01-21,27.8,23.1,24.7,82.8,3.6,29.5
"Navotas, NCR",2000-01-22,26.1,23.1,24.3,83.7,15.639,33.5
"Navotas, NCR",2000-01-23,30.1,22.1,25.9,71.3,1.367,29.1
"Navotas, NCR",2000-01-24,31.1,23.1,26.8,64.4,0.011,33.5
"Navotas, NCR",2000-01-25,30.1,22.9,26.5,67.1,0.005,22.1
"Navotas, NCR",2000-01-26,29.3,21.1,26,67.5,0.216,24.1
"Navotas, NCR",2000-01-27,28.1,23.1,24.9,75.6,2.928,25.9
"Navotas, NCR",2000-01-28,28.1,22.1,24.6,72,1.158,33.1
"Navotas, NCR",2000-01-29,27.1,22.1,24.1,68.5,0.118,37.1
"Navotas, NCR",2000-01-30,29.1,21.1,24.4,67.8,0.131,22.3
"Navotas, NCR",2000-01-31,27.1,21.1,24.5,65.5,0.33,25.9
"Navotas, NCR",2000-02-01,28.1,23.1,25,72,0.965,15.6
"Navotas, NCR",2000-02-02,29.1,23.1,25.6,73.1,0.007,20.5
"Navotas, NCR",2000-02-03,28.1,23.2,25.6,76.7,3.971,11.6
"Navotas, NCR",2000-02-04,29.1,22.1,25.8,81.7,5.179,22.1
"Navotas, NCR",2000-02-05,28,24.1,25.7,84.8,22.653,18.8
"Navotas, NCR",2000-02-06,30,23.9,26.3,82.9,4.412,13
"Navotas, NCR",2000-02-07,30.3,24.1,27.3,79.7,0.027,18.4
"Navotas, NCR",2000-02-08,29.1,24.1,26.2,78.2,4.77,24.1
"Navotas, NCR",2000-02-09,28.9,24.1,25.9,70.1,0.251,29.2
"Navotas, NCR",2000-02-10,29.1,22.1,25.7,72.8,0.056,18.9
"Navotas, NCR",2000-02-11,28.6,23.4,25.9,76.5,0.243,18.7
"Navotas, NCR",2000-02-12,32.1,24.1,27.2,75.9,0.241,13
"Navotas, NCR",2000-02-13,31.9,24.1,27.8,76,0.005,20.5
"Navotas, NCR",2000-02-14,31.9,25,28,75,0,16.6
"Navotas, NCR",2000-02-15,30.3,24.8,27.2,77.4,4.245,20.5
"Navotas, NCR",2000-02-16,30,25.1,26.7,70.5,0.004,36.4
"Navotas, NCR",2000-02-17,29.1,24.1,26.2,72.2,0.311,22.3
"Navotas, NCR",2000-02-18,31.1,24.1,27.1,67.9,0.011,23.9
"Navotas, NCR",2000-02-19,32,24.1,27.9,69.2,0.003,22.2
"Navotas, NCR",2000-02-20,32.9,25,28.4,71.6,0.005,13.4
"Navotas, NCR",2000-02-21,32.1,25.9,28.4,72,0.005,21.9
"Navotas, NCR",2000-02-22,32.1,25.1,28.3,68.5,0,25.6
"Navotas, NCR",2000-02-23,32.1,23.1,27.9,69.6,0,22.3
"Navotas, NCR",2000-02-24,32.1,23,27.5,68.7,0,24.9
"Navotas, NCR",2000-02-25,32.1,23.9,27.6,68.6,0,22
"Navotas, NCR",2000-02-26,33.1,23.2,28.1,68.3,0.003,25.7
"Navotas, NCR",2000-02-27,32.1,25.1,27.7,68.1,0.002,25.9
"Navotas, NCR",2000-02-28,31.1,24.1,27.3,67.8,0.01,18.7
"Navotas, NCR",2000-02-29,32.4,24.1,27.9,65.5,0.175,25.4
"Navotas, NCR",2000-03-01,32,24.9,28,62.4,0,25.7
"Navotas, NCR",2000-03-02,32.9,24.6,28.3,65.1,0.812,22.1
"Navotas, NCR",2000-03-03,29.1,24.1,26,79.1,2.392,18.9
"Navotas, NCR",2000-03-04,32.1,24.1,27.8,75.7,15.28,28.8
"Navotas, NCR",2000-03-05,33.1,25.1,28.2,76.6,4.272,18.8
"Navotas, NCR",2000-03-06,32,24.2,27.7,78.7,1.191,18.4
"Navotas, NCR",2000-03-07,31.1,24.1,27.8,78.5,1.464,22
"Navotas, NCR",2000-03-08,32.9,24.1,28.2,74.3,6.338,11.7
"Navotas, NCR",2000-03-09,31.2,24.8,27.6,76.5,5.351,14.8
"Navotas, NCR",2000-03-10,33.1,25.1,28.7,72.2,0.812,25.3
"Navotas, NCR",2000-03-11,33.9,25.9,29.3,67.6,0,14.8
"Navotas, NCR",2000-03-12,32.9,25.1,28.8,69.4,1.573,16.2
"Navotas, NCR",2000-03-13,32.9,25.1,28.3,69.6,1.737,35.9
"Navotas, NCR",2000-03-14,32.1,23.9,27.6,69.5,1.711,27
"Navotas, NCR",2000-03-15,33,24.1,28,66.6,0,25.9
"Navotas, NCR",2000-03-16,32.1,24,27.7,70.2,0,14.7
"Navotas, NCR",2000-03-17,32.5,24.9,28.6,63.9,0.002,22.1
"Navotas, NCR",2000-03-18,32.2,25.1,28.4,64,0,25.9
"Navotas, NCR",2000-03-19,32.9,24.1,28.1,74.1,11.225,21.8
"Navotas, NCR",2000-03-20,29.3,25.1,27.2,73.8,1.294,14.4
"Navotas, NCR",2000-03-21,31.1,23.2,27.3,70,0.034,17.9
