name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Pasay City, National Capital Region, Philippines",2000-01-01,31.1,24.7,27.7,72.6,0.042,18.4
"Pasay City, National Capital Region, Philippines",2000-01-02,31.1,24.1,27.7,72.4,0.018,14.8
"Pasay City, National Capital Region, Philippines",2000-01-03,31.1,24.7,27.4,67.6,0.002,29.5
"Pasay City, National Capital Region, Philippines",2000-01-04,30.3,23.1,26.9,66,0,33.5
"Pasay City, National Capital Region, Philippines",2000-01-05,31.1,23.1,27.1,68.6,0.001,18.4
"Pasay City, National Capital Region, Philippines",2000-01-06,31.1,24.8,27.3,71.6,0.005,14.8
"Pasay City, National Capital Region, Philippines",2000-01-07,32.1,23.1,26.8,71.9,0.069,13
"Pasay City, National Capital Region, Philippines",2000-01-08,30.2,24.1,27,74.4,0.01,18.4
"Pasay City, National Capital Region, Philippines",2000-01-09,31.6,24.1,27.5,71.1,0,14.8
"Pasay City, National Capital Region, Philippines",2000-01-10,32.1,24.1,27.8,70.6,0,18.4
"Pasay City, National Capital Region, Philippines",2000-01-11,32.1,25.8,28,69.1,0,18.4
"Pasay City, National Capital Region, Philippines",2000-01-12,31.1,23.1,26.9,70.6,0.006,18.7
"Pasay City, National Capital Region, Philippines",2000-01-13,31.1,23.1,26.7,72.5,0.008,14.8
"Pasay City, National Capital Region, Philippines",2000-01-14,31.6,24.1,27.7,72.4,0.002,18.4
"Pasay City, National Capital Region, Philippines",2000-01-15,31.1,25,28,69.9,0.021,20.5
"Pasay City, National Capital Region, Philippines",2000-01-16,31.1,23.1,27.7,68.8,0,14.8
"Pasay City, National Capital Region, Philippines",2000-01-17,31.1,22.1,27.1,69.6,0.001,18.9
"Pasay City, National Capital Region, Philippines",2000-01-18,30.1,25.1,26.7,71.3,0.079,22.3
"Pasay City, National Capital Region, Philippines",2000-01-19,29.4,24.1,26.9,69,0.004,18.4
"Pasay City, National Capital Region, Philippines",2000-01-20,29.9,23.1,26.3,70,0.009,22.3
"Pasay City, National Capital Region, Philippines",2000-01-21,28.3,22.8,24.8,81.7,2.255,16.8
"Pasay City, National Capital Region, Philippines",2000-01-22,26.1,22.8,24.2,83.7,4.394,18.4
"Pasay City, National Capital Region, Philippines",2000-01-23,30.1,22.1,25.9,70.1,0.127,27.7
"Pasay City, National Capital Region, Philippines",2000-01-24,31.1,23.1,26.7,64,0.003,33.5
"Pasay City, National Capital Region, Philippines",2000-01-25,30.1,22.8,26.6,66,0.001,24
"Pasay City, National Capital Region, Philippines",2000-01-26,29.1,23.1,26.2,66.2,0.019,18.4
"Pasay City, National Capital Region, Philippines",2000-01-27,27.2,22.8,24.7,75.5,3.879,30.5
"Pasay City, National Capital Region, Philippines",2000-01-28,28.1,22.1,24.5,71.7,1.068,33.5
"Pasay City, National Capital Region, Philippines",2000-01-29,27.1,22.1,24.2,66.4,0.794,25.9
"Pasay City, National Capital Region, Philippines",2000-01-30,29.1,21.1,24.4,65.4,0.021,22.3
"Pasay City, National Capital Region, Philippines",2000-01-31,27.1,21.1,24.5,65.4,0.101,25.9
"Pasay City, National Capital Region, Philippines",2000-02-01,28.1,23,25,71.2,0.163,15.4
"Pasay City, National Capital Region, Philippines",2000-02-02,29.1,22.8,25.6,73.6,0.002,18.4
"Pasay City, National Capital Region, Philippines",2000-02-03,28.1,23.1,25.6,76.3,1.856,11.2
"Pasay City, National Capital Region, Philippines",2000-02-04,29.1,22.1,25.8,81.1,1.285,22.3
"Pasay City, National Capital Region, Philippines",2000-02-05,28.1,24.1,25.8,83.9,23.481,19.4
"Pasay City, National Capital Region, Philippines",2000-02-06,30.1,23.7,26.2,82.3,1.295,13
"Pasay City, National Capital Region, Philippines",2000-02-07,30.1,24.1,27.1,79.8,0.005,18.4
"Pasay City, National Capital Region, Philippines",2000-02-08,29.1,24.1,26.3,76.8,0.966,18.4
"Pasay City, National Capital Region, Philippines",2000-02-09,28.8,24.1,25.8,69.3,0.041,29.5
"Pasay City, National Capital Region, Philippines",2000-02-10,29.1,22.1,25.7,71.3,0.009,18.4
"Pasay City, National Capital Region, Philippines",2000-02-11,28.1,24,25.8,75.7,0.039,18.4
"Pasay City, National Capital Region, Philippines",2000-02-12,31.1,24.1,27.1,75.7,0.025,13
"Pasay City, National Capital Region, Philippines",2000-02-13,32.1,24.1,27.8,74.8,0,14.8
"Pasay City, National Capital Region, Philippines",2000-02-14,32.1,24.8,28,73.5,0,14
"Pasay City, National Capital Region, Philippines",2000-02-15,30.1,25.1,27.3,76.2,1.981,21.3
"Pasay City, National Capital Region, Philippines",2000-02-16,30.1,25.1,26.7,69.2,0.001,39.5
"Pasay City, National Capital Region, Philippines",2000-02-17,29.1,24.1,26.2,70.9,0.04,22.3
"Pasay City, National Capital Region, Philippines",2000-02-18,31.1,24.1,27,67.3,0.003,22.3
"Pasay City, National Capital Region, Philippines",2000-02-19,32.1,24.1,28,68.5,0.001,22.3
"Pasay City, National Capital Region, Philippines",2000-02-20,33.1,25.1,28.5,69.9,0.001,13.5
"Pasay City, National Capital Region, Philippines",2000-02-21,31.1,26,28.4,70.4,0.001,22.3
"Pasay City, National Capital Region, Philippines",2000-02-22,32.2,25.1,28.3,66.5,0,25.9
"Pasay City, National Capital Region, Philippines",2000-02-23,32.1,24.1,28,67.7,0,22.3
"Pasay City, National Capital Region, Philippines",2000-02-24,32.1,22.5,27.6,66.8,0,25.9
"Pasay City, National Capital Region, Philippines",2000-02-25,32.1,23.5,27.7,66.6,0,22.3
"Pasay City, National Capital Region, Philippines",2000-02-26,33.1,23.1,28.2,66.3,0.001,25.9
"Pasay City, National Capital Region, Philippines",2000-02-27,32.1,25.1,27.5,67.7,0,22.4
"Pasay City, National Capital Region, Philippines",2000-02-28,31.1,24.1,27.6,65.8,0.002,19.2
"Pasay City, National Capital Region, Philippines",2000-02-29,32,24.1,27.9,64.1,0.045,25.9
"Pasay City, National Capital Region, Philippines",2000-03-01,32.1,25.1,28.2,59.8,0,25.9
"Pasay City, National Capital Region, Philippines",2000-03-02,33.1,24.8,28.4,63.7,0.996,22.3
