name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Pasig, NCR",1/1/2000,31.1,25.1,27.7,73.2,0.18,18.4
"Pasig, NCR",1/2/2000,31.1,24.1,27.6,74.2,0.124,14.8
"Pasig, NCR",1/3/2000,31.1,24.1,27,70.8,0.009,29.5
"Pasig, NCR",1/4/2000,30.6,23.1,26.8,67.8,0,33.5
"Pasig, NCR",1/5/2000,31.1,23.1,27,70,0.005,18.4
"Pasig, NCR",1/6/2000,31.1,24.1,27.2,73.1,0.038,14.8
"Pasig, NCR",1/7/2000,32.1,23.1,26.8,72.5,0.139,13
"Pasig, NCR",1/8/2000,30.5,24.1,27,75.2,0.063,18.4
"Pasig, NCR",1/9/2000,31.6,24.1,27.3,71.8,0,14.8
"Pasig, NCR",1/10/2000,32.1,24.1,27.8,71.3,0,18.4
"Pasig, NCR",1/11/2000,32.1,25.3,27.9,70.7,0.002,18.4
"Pasig, NCR",1/12/2000,31.1,23.1,26.9,72,0.079,14.8
"Pasig, NCR",1/13/2000,31.1,23.1,26.7,73.9,0.052,14.8
"Pasig, NCR",1/14/2000,31.1,24.1,27.7,73.1,0.012,18.4
"Pasig, NCR",1/15/2000,31.1,24.5,27.8,71.8,0.292,20.5
"Pasig, NCR",1/16/2000,31.1,23.1,27.7,70.5,0,14.8
"Pasig, NCR",1/17/2000,31.1,22.1,27.1,70.8,0.005,14.8
"Pasig, NCR",1/18/2000,30.1,25.1,26.8,72.4,0.906,22.3
"Pasig, NCR",1/19/2000,29.6,24.1,26.9,70.3,0.085,18.4
"Pasig, NCR",1/20/2000,29.9,23,26.2,71.8,0.065,22.3
"Pasig, NCR",1/21/2000,28.1,23.1,24.8,82.7,3.48,16.6
"Pasig, NCR",1/22/2000,26.1,23,24.1,85.5,10.438,18.4
"Pasig, NCR",1/23/2000,30.1,22,25.9,71.7,1.744,27.7
"Pasig, NCR",1/24/2000,31.1,23.1,26.7,66.2,0.013,33.5
"Pasig, NCR",1/25/2000,30.1,22.5,26.5,67.5,0.005,22.3
"Pasig, NCR",1/26/2000,29.2,23.1,26.2,66.6,0.279,18.4
"Pasig, NCR",1/27/2000,27.1,23.1,24.7,76.9,3.135,15.3
"Pasig, NCR",1/28/2000,28.1,22.1,24.5,73.8,1.045,33.5
"Pasig, NCR",1/29/2000,27.1,22.1,24.1,68.9,0.276,25.9
"Pasig, NCR",1/30/2000,29.1,21.1,24.4,67.9,0.154,22.3
"Pasig, NCR",1/31/2000,27.1,21.1,24.5,67.2,0.225,25.9
"Pasig, NCR",2/1/2000,28.1,22.7,25,72.7,0.989,14.8
"Pasig, NCR",2/2/2000,29.1,22.6,25.5,74.7,0.007,18.4
"Pasig, NCR",2/3/2000,28.1,23.1,25.6,77.1,3.005,11.2
"Pasig, NCR",2/4/2000,29.1,22.1,25.8,81.7,4.365,22.3
"Pasig, NCR",2/5/2000,28.1,24.1,25.7,84.8,23.067,18.4
"Pasig, NCR",2/6/2000,30.1,23.8,26.2,82.8,2.424,13
"Pasig, NCR",2/7/2000,30.3,24.1,27.2,80.4,0.022,18.4
"Pasig, NCR",2/8/2000,29.1,24.1,26.1,79,4.045,18.4
"Pasig, NCR",2/9/2000,29.1,23.8,25.8,71,0.293,29.5
"Pasig, NCR",2/10/2000,29.1,22.1,25.6,72.8,0.066,18.4
"Pasig, NCR",2/11/2000,28.6,23.4,25.8,76.8,0.285,18.4
"Pasig, NCR",2/12/2000,31.1,24.1,27,76.7,0.307,13
"Pasig, NCR",2/13/2000,32.1,24.1,27.7,75.9,0,14.8
"Pasig, NCR",2/14/2000,32.1,25.1,27.9,75,0,11.2
"Pasig, NCR",2/15/2000,30.2,25,27.2,77.9,2.739,14.8
"Pasig, NCR",2/16/2000,30.1,25.1,26.7,70.7,0.005,38.4
"Pasig, NCR",2/17/2000,29.1,24.1,26.2,72.3,0.388,22.3
"Pasig, NCR",2/18/2000,31.1,24,26.9,68.5,0.013,22.3
"Pasig, NCR",2/19/2000,32.1,24.1,27.9,69.2,0.004,22.3
"Pasig, NCR",2/20/2000,33.1,24.9,28.4,71.3,0.005,13
"Pasig, NCR",2/21/2000,32,26,28.4,71.4,0.006,22.3
"Pasig, NCR",2/22/2000,32.1,25,28.3,68.3,0,25.9
"Pasig, NCR",2/23/2000,32.1,24,28,69,0,22.3
"Pasig, NCR",2/24/2000,32.1,22.4,27.5,68.4,0,25.9
"Pasig, NCR",2/25/2000,32.1,23.3,27.6,68.3,0,22.3
"Pasig, NCR",2/26/2000,33.1,23.1,28.1,68.2,0.004,25.9
