name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"San Juan, National Capital Region, Philippines",2000-01-01,31.1,25.1,27.7,73.4,0.133,18.4
"San Juan, National Capital Region, Philippines",2000-01-02,31.1,24.1,27.6,74.5,0.084,14.8
"San Juan, National Capital Region, Philippines",2000-01-03,31.1,24,27,71.3,0.004,29.5
"San Juan, National Capital Region, Philippines",2000-01-04,30.8,23.1,26.8,68,0,33.5
"San Juan, National Capital Region, Philippines",2000-01-05,31.1,23.1,27,70.2,0.002,18.4
"San Juan, National Capital Region, Philippines",2000-01-06,31.1,24.1,27.2,73.2,0.015,14.8
"San Juan, National Capital Region, Philippines",2000-01-07,32.1,23.1,26.9,72.5,0.199,13
"San Juan, National Capital Region, Philippines",2000-01-08,30.5,24.1,27,75.3,0.025,18.4
"San Juan, National Capital Region, Philippines",2000-01-09,31.6,24.1,27.3,71.9,0,14.8
"San Juan, National Capital Region, Philippines",2000-01-10,32.1,24.1,27.8,71.3,0,18.4
"San Juan, National Capital Region, Philippines",2000-01-11,32.1,25.4,27.9,70.8,0.001,18.4
"San Juan, National Capital Region, Philippines",2000-01-12,31.1,23.1,26.9,72.3,0.056,14.8
"San Juan, National Capital Region, Philippines",2000-01-13,31.1,23.1,26.8,74,0.021,14.8
"San Juan, National Capital Region, Philippines",2000-01-14,31.1,24.1,27.7,73.3,0.005,18.4
"San Juan, National Capital Region, Philippines",2000-01-15,31.1,24.6,27.8,72.3,0.305,20.5
"San Juan, National Capital Region, Philippines",2000-01-16,31.1,23.1,27.7,70.8,0,14.8
"San Juan, National Capital Region, Philippines",2000-01-17,31.1,22.1,27.1,71,0.002,14.8
"San Juan, National Capital Region, Philippines",2000-01-18,30.1,25.1,26.8,72.5,0.563,22.3
"San Juan, National Capital Region, Philippines",2000-01-19,29.5,24.1,26.9,70.6,0.069,18.4
"San Juan, National Capital Region, Philippines",2000-01-20,29.9,23,26.2,72.1,0.027,22.3
"San Juan, National Capital Region, Philippines",2000-01-21,28.1,23.1,24.8,83,3.223,16.6
"San Juan, National Capital Region, Philippines",2000-01-22,26.1,23.1,24.1,85.7,12.775,18.4
"San Juan, National Capital Region, Philippines",2000-01-23,30.1,22.1,25.9,71.8,1.833,27.7
"San Juan, National Capital Region, Philippines",2000-01-24,31.1,23.1,26.7,66.5,0.006,33.5
